"fare","age","cabin","sex","pclass","sibsp","embarked","survived"
"cheap","Adult","NaN","male","3","1","S","0"
"ex","Adult","C85","female","1","1","C","1"
"cheap","Adult","NaN","female","3","0","S","1"
"standard","Adult","C123","female","1","1","S","1"
"cheap","Adult","NaN","male","3","0","S","0"
"cheap","NaN","NaN","male","3","0","Q","0"
"standard","Old","E46","male","1","0","S","0"
"standard","Infant","NaN","male","3","3","S","0"
"cheap","Adult","NaN","female","3","0","S","1"
"standard","Child","NaN","female","2","1","C","1"
"standard","Child","G6","female","3","1","S","1"
"standard","Old","C103","female","1","0","S","1"
"cheap","Adult","NaN","male","3","0","S","0"
"standard","Adult","NaN","male","3","1","S","0"
"cheap","Child","NaN","female","3","0","S","0"
"standard","Old","NaN","female","2","0","S","1"
"standard","Infant","NaN","male","3","4","Q","0"
"cheap","NaN","NaN","male","2","0","S","1"
"standard","Adult","NaN","female","3","1","S","0"
"cheap","NaN","NaN","female","3","0","C","1"
"standard","Adult","NaN","male","2","0","S","0"
"cheap","Adult","D56","male","2","0","S","1"
"cheap","Adult","NaN","female","3","0","Q","1"
"standard","Adult","A6","male","1","0","S","1"
"standard","Child","NaN","female","3","3","S","0"
"standard","Adult","NaN","female","3","1","S","1"
"cheap","NaN","NaN","male","3","0","C","0"
"ex","Adult","C23 C25 C27","male","1","3","S","0"
"cheap","NaN","NaN","female","3","0","Q","1"
"cheap","NaN","NaN","male","3","0","S","0"
"standard","Adult","NaN","male","1","0","C","0"
"ex","NaN","B78","female","1","1","C","1"
"cheap","NaN","NaN","female","3","0","Q","1"
"cheap","Old","NaN","male","2","0","S","0"
"ex","Adult","NaN","male","1","1","C","0"
"standard","Adult","NaN","male","1","1","S","0"
"cheap","NaN","NaN","male","3","0","C","1"
"cheap","Adult","NaN","male","3","0","S","0"
"standard","Adult","NaN","female","3","2","S","0"
"cheap","Child","NaN","female","3","1","C","1"
"cheap","Adult","NaN","female","3","1","S","0"
"standard","Adult","NaN","female","2","1","S","0"
"cheap","NaN","NaN","male","3","0","C","0"
"standard","Infant","NaN","female","2","1","C","1"
"cheap","Adult","NaN","female","3","0","Q","1"
"cheap","NaN","NaN","male","3","0","S","0"
"standard","NaN","NaN","male","3","1","Q","0"
"cheap","NaN","NaN","female","3","0","Q","1"
"standard","NaN","NaN","male","3","2","C","0"
"standard","Adult","NaN","female","3","1","S","0"
"standard","Child","NaN","male","3","4","S","0"
"cheap","Adult","NaN","male","3","0","S","0"
"ex","Adult","D33","female","1","1","C","1"
"standard","Adult","NaN","female","2","1","S","1"
"standard","Old","B30","male","1","0","C","0"
"standard","NaN","C52","male","1","0","S","1"
"cheap","Adult","NaN","female","2","0","S","1"
"cheap","Adult","NaN","male","3","0","C","0"
"standard","Child","NaN","female","2","1","S","1"
"standard","Child","NaN","male","3","5","S","0"
"cheap","Adult","NaN","male","3","0","C","0"
"ex","Adult","B28","female","1","0","NaN","1"
"ex","Adult","C83","male","1","1","S","0"
"standard","Child","NaN","male","3","3","S","0"
"standard","NaN","NaN","male","1","0","C","0"
"standard","NaN","NaN","male","3","1","C","1"
"cheap","Adult","F33","female","2","0","S","1"
"cheap","Adult","NaN","male","3","0","S","0"
"cheap","Adult","NaN","female","3","4","S","1"
"cheap","Adult","NaN","male","3","2","S","0"
"cheap","Adult","NaN","male","2","0","S","0"
"standard","Adult","NaN","female","3","5","S","0"
"ex","Adult","NaN","male","2","0","S","0"
"cheap","Adult","NaN","male","3","1","C","0"
"standard","Adult","NaN","male","3","0","S","1"
"cheap","Adult","F G73","male","3","0","S","0"
"cheap","NaN","NaN","male","3","0","S","0"
"cheap","NaN","NaN","male","3","0","S","0"
"standard","Infant","NaN","male","2","0","S","1"
"cheap","Adult","NaN","female","3","0","S","1"
"cheap","Adult","NaN","male","3","0","S","0"
"cheap","Adult","NaN","male","3","0","S","1"
"cheap","NaN","NaN","female","3","0","Q","1"
"standard","Adult","NaN","male","1","0","S","0"
"cheap","Adult","NaN","female","2","0","S","1"
"standard","Adult","NaN","female","3","3","S","1"
"standard","Adult","NaN","male","3","1","S","0"
"cheap","NaN","NaN","male","3","0","S","0"
"ex","Adult","C23 C25 C27","female","1","3","S","1"
"cheap","Adult","NaN","male","3","0","S","0"
"cheap","Adult","NaN","male","3","0","S","0"
"cheap","Adult","NaN","male","3","0","S","0"
"standard","Adult","E31","male","1","1","S","0"
"standard","Adult","NaN","male","3","1","S","0"
"cheap","Old","NaN","male","3","0","S","0"
"cheap","NaN","NaN","male","3","0","S","0"
"standard","Old","A5","male","1","0","C","0"
"standard","Adult","D10 D12","male","1","0","C","1"
"standard","Adult","NaN","female","2","0","S","1"
"standard","Adult","NaN","male","2","1","S","0"
"cheap","Adult","NaN","female","3","0","S","0"
"cheap","NaN","NaN","male","3","0","S","0"
"ex","Adult","D26","male","1","0","S","0"
